companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;vpa;lpa;valorMercado;dy;liquidezMediaDiaria;receitas_Cagr5;lucros_Cagr5
249;SMILES;SMLS3;22,4;10,7799;4,0919;10,1675;1,017;9,9309;85,18;41,42;39,07;4,2118;18,7779;-2,5439;0,24;37,96;9,43;24,47;-0,1;-0,24;0,25;0,75;1,1;-0,32678803;5,4743;2,0779;2781160547,2;;;;
803;VITTIA FERTILIZANTES E BIOLOGICOS S.A.;VITT3;12,89;12,9554;3,8168;10,0029;2,0941;11,0943;37,01;20,66;15,95;2,0665;6,8538;-6,133;1,01;29,46;16,16;19,98;0,43;1,13;0,55;0,45;1,87;0,3093138;3,3772;0,995;1833889551,74;2,8338;2975978,18;;
678;JALLES MACHADO S.A.;JALL3;7,41;11,3525;1,4454;-49,9681;0,4636;-75,8464;-2,22;-2,62;11,54;1,3096;1,6298;-0,8416;0,35;12,73;4,08;-3,4;0,75;-26,01;0,32;0,68;2,73;-0,85141445;5,1197;0,6518;2192546357,04;2,4042;4781420,88;;
400;USIMINAS;USIM6;14,51;3,632;0,7485;3,0708;0,4444;1,6738;21,12;18,02;15,23;0,5533;1,1529;-0,9025;0,8;20,61;12,24;14,14;0,04;0,16;0,59;0,34;4,16;-0,09287338;19,386;3,9951;8957250872,88;4,3358;1450,5;31,89;
400;USIMINAS;USIM5;7,03;1,7597;0,3626;1,4878;0,2153;1,6738;21,12;18,02;15,23;0,2681;0,5586;-0,4372;0,8;20,61;12,24;14,14;0,04;0,16;0,59;0,34;4,16;-0,04499654;19,386;3,9951;8957250872,88;8,9492;156530105,65;31,89;
400;USIMINAS;USIM3;7,25;1,8172;0,3745;1,5365;0,2223;1,6738;21,12;18,02;15,23;0,2769;0,5768;-0,4515;0,8;20,61;12,24;14,14;0,04;0,16;0,59;0,34;4,16;-0,04646869;19,386;3,9951;8957250872,88;7,8779;3461884,1;31,89;
488;ALPARGATAS;ALPA3;12,09;18,9215;1,4092;23,3544;1,0441;26,7046;46,83;8,91;11,0;2,0815;6,093;-1,7319;0,5;7,45;5,52;4,82;0,02;0,4;0,74;0,26;1,76;-6,51735444;8,5793;0,639;9350877772,68;1,2268;123440,68;-0,53;3,84
488;ALPARGATAS;ALPA4;15,18;23,7575;1,7694;29,3234;1,3109;26,7046;46,83;8,91;11,0;2,6135;7,6503;-2,1746;0,5;7,45;5,52;4,82;0,02;0,4;0,74;0,26;1,76;-8,18308027;8,5793;0,639;9350877772,68;1,0748;73066188,98;-0,53;3,84
365;PPLA PARTICIPATIONS;PPLA11;4,58;4297,0568;1289,117;4297,0568;5,7886;4297,0568;;;;;1289,117;;0,0;30,0;0,13;;;;0,0;1,0;1,0;-42,11115625;0,0036;0,0011;12891170,28;;2644,56;;-87,74
284;TERRA SANTA AGRO;TESA3;48,0;-13,2965;1,6193;10,7267;0,5235;17,3862;15,86;9,39;-7,58;1,0075;-11,1004;-0,7364;0,52;-12,18;-3,94;3,93;1,01;6,66;0,32;0,68;0,86;0,83451309;29,6429;-3,61;1389696672,0;;;7,32;
